disease_name,severity,medications,safety_tips,precautions,risk_level
Astigmatism,Moderate,Antibiotics; Insulin; Pain Reliever; Antimalarial,Monitor symptoms regularly; Take adequate rest; Wear protective mask; Stay hydrated,Use mosquito repellent; Consult doctor before travel; Carry emergency kit,Critical
Anxiety,Low,Pain Reliever; Antimalarial; ORS,Avoid extreme temperatures; Monitor symptoms regularly; Avoid crowded places; Stay hydrated,Use mosquito repellent; Avoid allergens; Carry emergency kit,High
Heat Exhaustion,Moderate,Antivirals; Paracetamol; ORS,Stay hydrated; Take adequate rest; Wear protective mask; Avoid crowded places,Use mosquito repellent; Carry emergency kit; Consult doctor before travel,High
Lyme Disease,High,Bronchodilator; Antivirals; Paracetamol; Antihistamine,Avoid extreme temperatures; Avoid crowded places; Take adequate rest; Wear protective mask,Carry emergency kit; Use mosquito repellent; Avoid heavy physical activity,Moderate
IBS,High,Antibiotics; Paracetamol; Antimalarial,Monitor symptoms regularly; Maintain hygiene; Wear protective mask; Take adequate rest,Consult doctor before travel; Carry emergency kit; Follow medication schedule,Low
Alzheimer's,High,Paracetamol; Ibuprofen,Take adequate rest; Carry prescribed medicines; Maintain hygiene; Wear protective mask,Avoid heavy physical activity; Follow medication schedule; Carry emergency kit,High
Sinusitis,High,Steroids; Paracetamol; Ibuprofen,Monitor symptoms regularly; Stay hydrated; Wear protective mask; Take adequate rest,Avoid heavy physical activity; Use mosquito repellent; Consult doctor before travel,Moderate
Deep Vein Thrombosis,High,ORS; Paracetamol; Insulin,Monitor symptoms regularly; Wear protective mask; Avoid extreme temperatures; Carry prescribed medicines,Carry emergency kit; Avoid allergens; Consult doctor before travel,High
Altitude Sickness,Moderate,Ibuprofen; Antivirals,Avoid crowded places; Wear protective mask; Stay hydrated; Avoid extreme temperatures,Avoid heavy physical activity; Avoid allergens; Consult doctor before travel,High
Polio,High,Antihistamine; Antivirals,Wear protective mask; Monitor symptoms regularly; Take adequate rest; Avoid crowded places,Avoid heavy physical activity; Use mosquito repellent; Consult doctor before travel,High
Ear Infection,Low,Ibuprofen; Bronchodilator,Avoid extreme temperatures; Avoid crowded places; Stay hydrated; Take adequate rest,Avoid allergens; Follow medication schedule; Use mosquito repellent,Moderate
Anemia,Moderate,ORS; Antivirals; Steroids,Stay hydrated; Avoid crowded places; Maintain hygiene; Carry prescribed medicines,Follow medication schedule; Consult doctor before travel; Use mosquito repellent,High
Migraine,High,Ibuprofen; Antivirals; Insulin; Pain Reliever,Avoid extreme temperatures; Carry prescribed medicines; Maintain hygiene; Avoid crowded places,Consult doctor before travel; Avoid heavy physical activity; Carry emergency kit,Low
Allergy,Low,Antihistamine; Antibiotics; Paracetamol,Carry prescribed medicines; Wear protective mask; Maintain hygiene; Avoid crowded places,Consult doctor before travel; Carry emergency kit; Avoid heavy physical activity,Critical
Allergy,Low,Ibuprofen; Antivirals; Antibiotics,Take adequate rest; Maintain hygiene; Wear protective mask; Monitor symptoms regularly,Carry emergency kit; Use mosquito repellent; Avoid allergens,Low
Multiple Sclerosis,Moderate,Ibuprofen; Bronchodilator; Insulin; Antibiotics,Take adequate rest; Maintain hygiene; Avoid crowded places; Avoid extreme temperatures,Follow medication schedule; Avoid heavy physical activity; Carry emergency kit,Moderate
Motion Sickness,Low,Antivirals; Bronchodilator,Stay hydrated; Maintain hygiene; Take adequate rest; Wear protective mask,Follow medication schedule; Carry emergency kit; Avoid allergens,Moderate
IBS,Moderate,ORS; Bronchodilator,Maintain hygiene; Monitor symptoms regularly; Avoid extreme temperatures; Wear protective mask,Use mosquito repellent; Consult doctor before travel; Avoid allergens,Critical
Depression,Low,Ibuprofen; Antihistamine; Antivirals,Take adequate rest; Stay hydrated; Avoid crowded places; Maintain hygiene,Avoid allergens; Use mosquito repellent; Avoid heavy physical activity,Low
Stroke,High,Paracetamol; Bronchodilator,Avoid crowded places; Avoid extreme temperatures; Stay hydrated; Wear protective mask,Avoid allergens; Carry emergency kit; Avoid heavy physical activity,Critical
Cold,Moderate,Antimalarial; Insulin; ORS,Take adequate rest; Avoid extreme temperatures; Monitor symptoms regularly; Wear protective mask,Carry emergency kit; Consult doctor before travel; Follow medication schedule,Moderate
Heart Disease,High,Antivirals; Antimalarial; Ibuprofen; Antihistamine,Stay hydrated; Maintain hygiene; Avoid extreme temperatures; Monitor symptoms regularly,Follow medication schedule; Use mosquito repellent; Carry emergency kit,High
Ringworm,Moderate,ORS; Bronchodilator; Antibiotics,Maintain hygiene; Carry prescribed medicines; Stay hydrated; Avoid extreme temperatures,Avoid heavy physical activity; Follow medication schedule; Carry emergency kit,Critical
Stroke,High,Pain Reliever; Bronchodilator; Steroids,Maintain hygiene; Monitor symptoms regularly; Wear protective mask; Stay hydrated,Avoid allergens; Consult doctor before travel; Follow medication schedule,Low
Appendicitis,Moderate,Ibuprofen; Insulin; Antibiotics; Antihistamine,Wear protective mask; Monitor symptoms regularly; Take adequate rest; Stay hydrated,Avoid allergens; Consult doctor before travel; Follow medication schedule,High
Depression,High,Antihistamine; Ibuprofen; Insulin,Wear protective mask; Carry prescribed medicines; Stay hydrated; Take adequate rest,Carry emergency kit; Use mosquito repellent; Avoid allergens,Moderate
Motion Sickness,Moderate,Bronchodilator; ORS; Insulin,Monitor symptoms regularly; Avoid crowded places; Wear protective mask; Stay hydrated,Use mosquito repellent; Avoid allergens; Carry emergency kit,Moderate
Gallstones,Moderate,Pain Reliever; Paracetamol; Antihistamine,Avoid extreme temperatures; Monitor symptoms regularly; Carry prescribed medicines; Wear protective mask,Use mosquito repellent; Follow medication schedule; Avoid heavy physical activity,Moderate
Cancer,Low,ORS; Antibiotics,Wear protective mask; Avoid extreme temperatures; Maintain hygiene; Stay hydrated,Carry emergency kit; Follow medication schedule; Avoid heavy physical activity,Low
Arthritis,High,Antihistamine; Antimalarial,Avoid crowded places; Carry prescribed medicines; Stay hydrated; Avoid extreme temperatures,Avoid allergens; Avoid heavy physical activity; Consult doctor before travel,Low
Motion Sickness,High,Bronchodilator; Antibiotics,Avoid crowded places; Monitor symptoms regularly; Take adequate rest; Wear protective mask,Consult doctor before travel; Avoid heavy physical activity; Follow medication schedule,Critical
Thyroid Disorder,Low,Antimalarial; Steroids; Antihistamine,Avoid crowded places; Maintain hygiene; Take adequate rest; Monitor symptoms regularly,Use mosquito repellent; Carry emergency kit; Follow medication schedule,Moderate
Vitamin B12 Deficiency,Low,Antimalarial; ORS; Ibuprofen; Antivirals,Avoid crowded places; Monitor symptoms regularly; Maintain hygiene; Avoid extreme temperatures,Consult doctor before travel; Use mosquito repellent; Avoid allergens,High
Bronchial Infection,Low,Antibiotics; Insulin; Paracetamol; Bronchodilator,Carry prescribed medicines; Avoid crowded places; Monitor symptoms regularly; Stay hydrated,Avoid allergens; Consult doctor before travel; Use mosquito repellent,Moderate
Liver Disease,Low,Antivirals; Ibuprofen; ORS,Avoid extreme temperatures; Take adequate rest; Stay hydrated; Avoid crowded places,Avoid allergens; Carry emergency kit; Follow medication schedule,High
Food Poisoning,Moderate,Antihistamine; Antimalarial,Stay hydrated; Avoid crowded places; Carry prescribed medicines; Avoid extreme temperatures,Avoid heavy physical activity; Follow medication schedule; Carry emergency kit,High
Bronchial Infection,High,Steroids; Antihistamine; ORS; Antivirals,Wear protective mask; Maintain hygiene; Take adequate rest; Monitor symptoms regularly,Consult doctor before travel; Carry emergency kit; Follow medication schedule,Low
Measles,Low,Steroids; Antihistamine; Paracetamol,Avoid extreme temperatures; Stay hydrated; Wear protective mask; Monitor symptoms regularly,Follow medication schedule; Use mosquito repellent; Carry emergency kit,Low
Insomnia,Moderate,Antimalarial; Pain Reliever; Ibuprofen; Antivirals,Carry prescribed medicines; Take adequate rest; Stay hydrated; Avoid extreme temperatures,Carry emergency kit; Avoid allergens; Consult doctor before travel,Moderate
Vitamin D Deficiency,Moderate,Bronchodilator; Paracetamol; Pain Reliever,Wear protective mask; Carry prescribed medicines; Take adequate rest; Avoid extreme temperatures,Follow medication schedule; Use mosquito repellent; Consult doctor before travel,High
Gallstones,High,Antibiotics; Steroids,Wear protective mask; Monitor symptoms regularly; Avoid extreme temperatures; Maintain hygiene,Follow medication schedule; Use mosquito repellent; Avoid allergens,Critical
Allergy,High,Antivirals; Bronchodilator; Pain Reliever,Avoid extreme temperatures; Monitor symptoms regularly; Carry prescribed medicines; Avoid crowded places,Avoid heavy physical activity; Use mosquito repellent; Carry emergency kit,Moderate
Thyroid Disorder,High,ORS; Antihistamine; Steroids; Antibiotics,Wear protective mask; Maintain hygiene; Avoid crowded places; Stay hydrated,Avoid allergens; Follow medication schedule; Consult doctor before travel,Moderate
Tuberculosis,High,Antivirals; Paracetamol; Antihistamine,Avoid crowded places; Carry prescribed medicines; Take adequate rest; Stay hydrated,Follow medication schedule; Carry emergency kit; Avoid allergens,High
Arthritis,Moderate,Insulin; Pain Reliever; Bronchodilator; Antimalarial,Take adequate rest; Maintain hygiene; Avoid crowded places; Carry prescribed medicines,Consult doctor before travel; Follow medication schedule; Use mosquito repellent,High
Back Pain,Low,Antibiotics; Paracetamol,Wear protective mask; Carry prescribed medicines; Stay hydrated; Take adequate rest,Avoid heavy physical activity; Avoid allergens; Consult doctor before travel,Critical
Back Pain,Low,Insulin; Antibiotics; ORS,Stay hydrated; Avoid extreme temperatures; Avoid crowded places; Carry prescribed medicines,Avoid heavy physical activity; Use mosquito repellent; Consult doctor before travel,High
Stroke,Low,Bronchodilator; Steroids; Antivirals; Antimalarial,Carry prescribed medicines; Avoid crowded places; Wear protective mask; Avoid extreme temperatures,Avoid allergens; Carry emergency kit; Follow medication schedule,Low
Heat Stroke,Moderate,Insulin; Antihistamine; Bronchodilator,Avoid extreme temperatures; Stay hydrated; Carry prescribed medicines; Monitor symptoms regularly,Use mosquito repellent; Carry emergency kit; Follow medication schedule,Moderate
Ear Infection,Low,Bronchodilator; ORS; Antihistamine; Antimalarial,Take adequate rest; Carry prescribed medicines; Avoid extreme temperatures; Stay hydrated,Avoid heavy physical activity; Follow medication schedule; Carry emergency kit,Moderate
Rabies,High,Antibiotics; Bronchodilator; Ibuprofen; Insulin,Avoid crowded places; Monitor symptoms regularly; Wear protective mask; Carry prescribed medicines,Consult doctor before travel; Avoid allergens; Carry emergency kit,Low
HIV/AIDS,Low,Pain Reliever; Paracetamol; Bronchodilator,Wear protective mask; Maintain hygiene; Take adequate rest; Carry prescribed medicines,Carry emergency kit; Avoid heavy physical activity; Consult doctor before travel,Low
Diabetes,Low,Antivirals; Antimalarial; Bronchodilator; Paracetamol,Maintain hygiene; Wear protective mask; Avoid crowded places; Stay hydrated,Avoid heavy physical activity; Avoid allergens; Consult doctor before travel,High
Anemia,Low,ORS; Bronchodilator; Antimalarial; Steroids,Avoid crowded places; Avoid extreme temperatures; Monitor symptoms regularly; Stay hydrated,Use mosquito repellent; Avoid allergens; Avoid heavy physical activity,Moderate
Eye Infection,High,Antihistamine; Paracetamol,Take adequate rest; Stay hydrated; Avoid crowded places; Monitor symptoms regularly,Consult doctor before travel; Avoid heavy physical activity; Avoid allergens,Low
Arthritis,Moderate,Pain Reliever; Steroids; Antimalarial,Stay hydrated; Monitor symptoms regularly; Avoid crowded places; Avoid extreme temperatures,Follow medication schedule; Carry emergency kit; Consult doctor before travel,Moderate
Motion Sickness,Moderate,Paracetamol; ORS; Antihistamine; Bronchodilator,Monitor symptoms regularly; Stay hydrated; Maintain hygiene; Carry prescribed medicines,Avoid allergens; Carry emergency kit; Use mosquito repellent,High
Sinusitis,Low,Pain Reliever; Steroids; Antimalarial; Bronchodilator,Maintain hygiene; Avoid extreme temperatures; Monitor symptoms regularly; Carry prescribed medicines,Use mosquito repellent; Avoid heavy physical activity; Consult doctor before travel,Moderate
Tuberculosis,Low,Antibiotics; Insulin,Wear protective mask; Monitor symptoms regularly; Carry prescribed medicines; Maintain hygiene,Follow medication schedule; Use mosquito repellent; Consult doctor before travel,Critical
Measles,Moderate,Bronchodilator; ORS; Paracetamol,Wear protective mask; Maintain hygiene; Avoid extreme temperatures; Stay hydrated,Avoid heavy physical activity; Avoid allergens; Consult doctor before travel,Critical
Heat Exhaustion,Low,ORS; Antihistamine,Avoid crowded places; Take adequate rest; Avoid extreme temperatures; Stay hydrated,Avoid allergens; Follow medication schedule; Carry emergency kit,Low
Hepatitis,Low,Insulin; Antibiotics; ORS,Monitor symptoms regularly; Avoid extreme temperatures; Maintain hygiene; Avoid crowded places,Avoid heavy physical activity; Follow medication schedule; Avoid allergens,Low
Epilepsy,Low,Bronchodilator; Antibiotics; ORS,Stay hydrated; Avoid crowded places; Wear protective mask; Carry prescribed medicines,Follow medication schedule; Carry emergency kit; Avoid allergens,Critical
Multiple Sclerosis,Low,Ibuprofen; Insulin,Avoid extreme temperatures; Avoid crowded places; Wear protective mask; Stay hydrated,Avoid allergens; Consult doctor before travel; Carry emergency kit,Critical
